Instance,OptCost,Duration,Solution
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_9.txt,4,0.00587,0 14 27 34 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_90.txt,5,0.00969,0 14 38 58 82 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_91.txt,3,0.00814,0 1 25 38 60 84 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_92.txt,2,0.00823,0 18 28 34 54 64 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_93.txt,3,0.00770,0 16 29 52 56 66 84 96 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_94.txt,2,0.00577,0 14 38 48 63 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_95.txt,6,0.00836,0 4 28 35 56 67 90 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_96.txt,1,0.00250,0 4 25 38 50 66 72 77 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_97.txt,2,0.00497,0 4 22 32 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_98.txt,2,0.00723,0 18 27 36 60 76 86 99 
Zhu_Wilhelm_DIMACS.n100e959c15.rcsp4_99.txt,4,0.00653,0 1 4 19 29 42 63 64 89 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_0.txt,2,0.00683,0 18 27 50 75 87 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_1.txt,2,0.00488,0 1 11 29 48 68 80 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_10.txt,3,0.01014,0 14 27 50 61 65 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_11.txt,0,0.00819,0 1 16 29 42 45 66 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_12.txt,0,0.00437,0 4 15 29 42 49 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_13.txt,2,0.00645,0 4 6 17 29 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_14.txt,2,0.00898,0 18 29 42 45 66 84 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_15.txt,1,0.00531,0 4 19 40 65 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_16.txt,2,0.00487,0 4 10 24 46 69 94 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_17.txt,1,0.00577,0 18 23 33 47 66 84 95 96 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_18.txt,1,0.00283,0 4 27 47 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_19.txt,1,0.00464,0 1 10 19 31 41 52 59 73 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_2.txt,0,0.00828,0 1 10 13 38 63 65 90 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_20.txt,2,0.00459,0 16 37 47 52 61 75 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_21.txt,1,0.00381,0 4 28 45 56 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_22.txt,1,0.00456,0 4 15 29 48 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_23.txt,0,0.00240,0 1 25 32 39 56 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_24.txt,1,0.00510,0 16 32 54 77 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_25.txt,1,0.00371,0 1 9 19 44 63 64 87 96 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_26.txt,3,0.00661,0 4 20 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_27.txt,0,0.01186,0 18 43 52 61 75 83 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_28.txt,2,0.00690,0 4 19 44 60 77 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_29.txt,4,0.00620,0 4 22 47 69 84 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_3.txt,2,0.00521,0 16 37 56 63 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_30.txt,1,0.00376,0 16 24 46 59 65 74 78 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_31.txt,2,0.00547,0 14 38 60 84 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_32.txt,2,0.00552,0 1 11 29 48 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_33.txt,1,0.00692,0 4 26 29 42 47 48 51 64 77 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_34.txt,0,0.00567,0 1 13 33 41 54 70 86 99 
