Instance,OptCost,Duration,Solution
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_34.txt,0,0.00241,0 1 13 33 41 54 70 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_35.txt,1,0.00269,0 18 27 36 43 52 56 79 96 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_36.txt,2,0.00179,0 16 29 37 41 65 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_37.txt,1,0.00275,0 1 9 23 35 36 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_38.txt,3,0.00286,0 1 4 22 45 69 94 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_39.txt,1,0.00805,0 14 38 60 63 64 79 94 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_4.txt,2,0.00370,0 18 21 33 58 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_40.txt,1,0.00316,0 4 22 45 69 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_41.txt,2,0.00304,0 18 30 47 69 84 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_42.txt,1,0.00265,0 1 9 19 44 45 58 82 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_43.txt,1,0.00283,0 1 4 15 38 39 62 73 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_44.txt,1,0.00238,0 1 16 37 47 65 84 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_45.txt,1,0.00394,0 14 24 38 56 59 84 96 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_46.txt,2,0.00353,0 1 10 35 56 57 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_47.txt,0,0.00463,0 16 26 35 59 84 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_48.txt,0,0.00506,0 4 15 38 47 66 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_49.txt,1,0.00334,0 16 26 48 65 90 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_5.txt,1,0.00295,0 4 19 29 52 56 61 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_50.txt,2,0.00407,0 4 17 20 39 54 68 80 81 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_51.txt,2,0.00478,0 1 17 27 47 48 51 72 77 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_52.txt,1,0.00909,0 18 23 35 47 51 61 79 96 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_53.txt,2,0.00317,0 4 19 25 38 58 82 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_54.txt,3,0.00463,0 1 10 14 38 63 82 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_55.txt,1,0.00596,0 18 21 41 65 67 84 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_56.txt,1,0.00584,0 1 26 28 47 66 89 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_57.txt,3,0.00274,0 18 28 31 36 41 60 85 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_58.txt,1,0.00328,0 18 21 34 52 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_59.txt,2,0.00621,0 4 10 13 37 47 69 73 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_6.txt,1,0.00283,0 1 17 31 53 78 96 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_60.txt,1,0.00237,0 14 26 33 40 50 58 78 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_61.txt,2,0.00278,0 1 9 30 40 50 72 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_62.txt,2,0.00541,0 14 39 54 66 90 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_63.txt,1,0.00333,0 1 13 38 39 54 68 80 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_64.txt,2,0.00357,0 14 24 26 42 63 65 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_65.txt,0,0.00661,0 1 13 33 55 66 82 95 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_66.txt,2,0.00692,0 16 35 60 84 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_67.txt,1,0.00196,0 18 40 60 68 83 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_68.txt,4,0.00550,0 14 26 35 56 76 86 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_69.txt,1,0.00201,0 1 13 38 58 82 94 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_7.txt,3,0.00227,0 4 26 29 48 65 66 80 88 92 97 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_70.txt,0,0.00356,0 4 15 22 39 50 57 62 73 85 89 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_71.txt,2,0.00276,0 16 37 51 61 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_72.txt,0,0.00503,0 18 23 42 66 74 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_73.txt,3,0.00404,0 16 35 56 79 81 96 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_74.txt,2,0.00253,0 1 5 15 22 27 50 51 64 77 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_75.txt,1,0.00370,0 16 31 41 62 63 80 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_76.txt,3,0.00446,0 18 23 42 66 75 89 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_77.txt,1,0.00293,0 14 38 60 85 94 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_78.txt,1,0.00310,0 4 22 30 53 78 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_79.txt,3,0.00446,0 1 13 27 36 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_8.txt,2,0.00286,0 16 41 44 60 85 92 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_80.txt,1,0.00369,0 18 21 42 62 74 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_81.txt,2,0.00233,0 16 26 28 35 59 73 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_82.txt,1,0.00344,0 1 11 28 35 60 78 88 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_83.txt,1,0.00487,0 4 15 22 47 69 80 81 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_84.txt,1,0.00451,0 18 28 35 58 65 67 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_85.txt,2,0.00565,0 4 27 47 65 74 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_86.txt,0,0.00443,0 14 32 39 54 79 99 
Zhu_Wilhelm_DIMACS.n100e959c17.rcsp3_87.txt,1,0.00226,0 4 19 31 53 77 79 99 
